rank,time,athlete,club,category,distance,competition_date,competition_type,competition_name,location,ligue,department,type,level
HC,18'21'',CONTIVAL Elina,Pompiers,CAF/08,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
8,18'41'',GUENEGO Sarah,Sporting Club Gourdon Athletis,CAF/07,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
HC,19'11'',LALAQUE Guilliann,Pompiers,MIM/09,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
HC,20'51'',JARDIDT Mateo,Pompiers,MIM/09,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
9,20'58'',IMBERT Fernand,Ac Gigouzac Saint Germain,MIM/10,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
HC,21'45'',MOYART Jade,Pompiers,CAF/08,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
HC,21'50'',FRAYSSINET Mathis,Pompiers,MIM/09,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
HC,23'53'',JACOB Jade,Pompiers,CAF/08,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
HC,24'01'',ROUZIER Timothe,Pompiers,MIM/10,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
HC,25'56'',LASFARGUES Chloe,Pompiers,CAF/07,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
HC,26'55'',LEPORC Clarisse,Pompiers,CAF/07,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
HC,27'06'',CHENE Dorian,Pompiers,MIM/09,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
1,13pt,,No Club,,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
2,31pt,,No Club,,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
3,39pt,,No Club,,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
HC,21'53'',CHADOUTEAU Loreano,Pompiers,JUM/06,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
HC,22'28'',RODRIGUES Jules,Pompiers,JUM/06,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
1,23'49'',SAMMUT Magali,S/l Saint-cere Athletisme Club,M1F/80,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
2,23'50'',COLMAR Caroline,S/l Saint-cere Athletisme Club,M5F/63,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
3,25'01'',DELBUT Celine,Ac Gigouzac Saint Germain,SEF/90,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
4,25'22'',BOTTREAU Isabelle,Ac Gigouzac Saint Germain,M3F/72,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
5,25'48'',VIGUIE Florence,S/l Saint-cere Athletisme Club,M4F/68,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
HC,26'25'',LAPOTRE Antoinette,Cahors A,M1F/81,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
6,26'35'',BELLICAULT Emmanuelle,Ac Gigouzac Saint Germain,M0F/89,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
7,26'54'',PEYRATOUT Maelle,S/l Saint-cere Athletisme Club,SEF/94,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
8,27'22'',PAUZIE Maryline,S/l Saint-cere Athletisme Club,M5F/64,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
9,27'35'',MUSCAT Marlene,Athle 46,M0F/87,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
10,28'00'',VAYSSE Julie,Athle 46,M0F/89,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
11,28'04'',BONAFE Laetitia,Saint-cere Athletisme Club*,M1F/84,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
12,28'21'',LAMICHE Coralie,Athle 46,M1F/84,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
HC,29'28'',LEJEUNE Anne Sophie,Pompiers,M1F/80,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
HC,30'16'',IMBERT Fanny,,M2F/79,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
HC,31'00'',HEREIL Agnes,Pompiers,M2F/78,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
13,32'40'',DUJARDIN Coralie,Ac Gigouzac Saint Germain,M2F/79,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
14,32'41'',PAVARD Ghislaine,Ac Gigouzac Saint Germain,M6F/56,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
HC,33'12'',LAVAYSSE Matheo,Pompiers,JUM/06,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
HC,33'13'',DOUSSET Stephanie,Pompiers,M0F/88,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
15,34'44'',BALBARIE Isabelle,Saint-cere Athletisme Club*,M2F/77,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
HC,35'13'',MARSIS Celia,Pompiers,ESF/03,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
16,35'14'',LUCAS Oriane,Saint-cere Athletisme Club*,SEF/92,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
HC,35'21'',MAGRY Patrick,Pompiers,M3M/73,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
HC,36'39'',BOUYSSOU Fanny,Pompiers,SEF/91,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
17,36'44'',PONTHIER Carine,Athle 46,M2F/76,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
18,36'44'',LASFARGUES Caroline,Athle 46,M2F/76,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
HC,42'11'',LAFAGE Audrey,Pompiers,SEF/94,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
HC,49'26'',BLATY Sophie,Pompiers,M3F/73,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
1,15pt,,No Club,,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
2,46pt,,No Club,,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
3,49pt,,No Club,,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
4,64pt,,No Club,,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
5,90pt,,No Club,,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
6,110pt,,No Club,,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
1,30'37'',CUVILLIER Romain,Cahors A,SEM/01,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
HC,30'38'',ROUX Arthur,,SEM/97,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
HC,31'22'',DECREMPS Enzo,Pompiers,ESM/04,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
2,31'42'',DELPY Fabien,Ac Gigouzac Saint Germain,M0M/86,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
3,31'48'',COLOMBO Mathieu,S/l Saint-cere Athletisme Club,SEM/96,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
4,32'16'',GREIN Clement,S/l Saint-cere Athletisme Club,SEM/91,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
5,32'31'',CALLES Joris,Ac Gigouzac Saint Germain,M0M/87,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
HC,32'33'',FEROLDI Sophia,,SEM/94,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
HC,32'55'',MARQUIS Patrice,S/l Monflanquin Athletic Club,M3M/72,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
6,33'08'',BACHELOT Erwan,S/l Saint-cere Athletisme Club,M1M/84,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
7,33'26'',BARTHEZ Yoann,Ac Gigouzac Saint Germain,M1M/82,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
HC,34'16'',BEUVIN Jeremy,S/l Monflanquin Athletic Club,SEM/94,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
8,34'36'',PAUZIE Daniel,S/l Saint-cere Athletisme Club,M4M/65,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
9,34'51'',LALLOUETTE Regis,Athle 46,M3M/72,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
10,34'57'',TOUCAS Fabien,Athle 46,M2M/79,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
HC,35'57'',PONS Louis,,SEM/93,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
11,36'03'',ROUSSEL Paul,Cahors A,ESM/03,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
12,37'21'',BLAIN Pierre-Louis,S/l Saint-cere Athletisme Club,SEM/91,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
HC,37'22'',ROUCHON Alexandre,Pompiers,M0M/87,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
13,37'23'',BOCCARA Antonin,Saint-cere Athletisme Club*,SEM/92,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
14,37'25'',SOUILLE Ronan,Ac Gigouzac Saint Germain,M1M/82,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
15,37'42'',FOURNIAL Christophe,Cahors A,M0M/87,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
HC,37'43'',RAMBIE Damien,,SEM/91,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
HC,38'11'',PATERNE Michel,,M5M/60,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
16,38'27'',CALLES Philippe,Ac Gigouzac Saint Germain,M3M/72,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
17,38'30'',FRAYSSI Nicolas,Ac Gigouzac Saint Germain,M2M/78,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
HC,38'47'',DEJOU Pierre,Pompiers,SEM/98,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
18,39'05'',DUDON Frederic,Ac Gigouzac Saint Germain,M2M/79,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
19,39'16'',GUY Stephane,Ac Gigouzac Saint Germain,M3M/72,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
20,39'20'',BRAULT Gabriel,Ac Gigouzac Saint Germain,M0M/87,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
HC,39'42'',BORDE Bertrand,,M1M/84,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
HC,39'46'',PLANCASSAGNE Yoann,,M1M/82,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
HC,39'55'',CELLIER Thibeau,Pompiers,M0M/88,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
21,39'55'',LEPORC Jerome,Ac Gigouzac Saint Germain,M3M/71,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
22,39'56'',ROCHELLI Jean-Noel,Athle 46,M3M/74,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
23,40'33'',LE LAY Paul,Ac Gigouzac Saint Germain,M5M/63,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
24,40'38'',PELTIER Sebastien,Ac Gigouzac Saint Germain,M4M/67,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
HC,40'41'',NATHAN Christiano,Pompiers,M0M/88,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
25,41'28'',PERIE Jean-Luc,Figeac Ac,M4M/68,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
26,41'36'',LONZIEME Thierry,Athle 46,M6M/59,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
27,41'38'',LASTRA Claudio,Ac Gigouzac Saint Germain,M3M/71,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
28,42'10'',RAVAYROL Thierry,Ac Gigouzac Saint Germain,M4M/69,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
29,42'28'',EBER Guillaume,Saint-cere Athletisme Club*,SEM/96,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
30,42'29'',BOURREE Ghislain,Ac Gigouzac Saint Germain,M5M/60,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
HC,42'54'',GOSSELIN Landry,Pompiers,SEM/97,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
31,43'15'',CAZAGOU Patrice,Ac Gigouzac Saint Germain,M3M/70,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
32,43'17'',BARRUE Max,Saint-cere Athletisme Club*,M6M/59,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
HC,43'58'',LAFARGUE Bastien,Pompiers,M1M/82,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
33,44'11'',SALSAC Laurent,Saint-cere Athletisme Club*,M1M/81,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
HC,44'41'',SAUGER Mathieu,Pompiers,M0M/87,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
34,44'54'',LE GOFF Francois,Athle 46,M4M/68,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
HC,45'57'',HADJ KACI Mohand,Pompiers,M4M/68,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
35,46'45'',BOUCHUD Christian,Ac Gigouzac Saint Germain,M7M/54,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
HC,48'13'',LAUMONIER Francois,Pompiers,M2M/76,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
HC,50'03'',LALANNE Kevin,Pompiers,SEM/93,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
36,50'44'',MACK Daniel,Saint-cere Athletisme Club*,M5M/60,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
HC,50'44'',DEFFREIX Yanick,Pompiers,M3M/71,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
37,50'44'',ROUGIE Christian,Saint-cere Athletisme Club*,M6M/57,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
HC,51'50'',PONTIER Julien,Pompiers,M1M/82,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
HC,58'05'',DESPRATS Sylvain,Pompiers,M1M/83,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
HC,58'05'',JAMMES Denis,Pompiers,M3M/71,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
38,1h00'13'',MEZIERES Vincent,Athle 46,M3M/74,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
1,12'23'',CUVILLIER Romain,Cahors A,SEM/01,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
2,13'41'',MAURY Sebastien,Cahors A,M2M/78,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
3,14'22'',CROS-GRANET Romane,Sporting Club Gourdon Athletis,JUF/05,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
4,15'34'',ANDRE Julien,Cahors A,SEM/00,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
HC,15'42'',PONS Emilien,Pompiers,CAM/07,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
HC,16'14'',ANDRIEU MENCHI Arthur,Pompiers,CAM/07,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
5,16'22'',BELLOT Vincent,Figeac Ac,SEM/96,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
HC,16'41'',PATERNE Valentin,,JUM/06,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
6,16'52'',BERTRAND Thomas,Ac Gigouzac Saint Germain,M2M/79,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
HC,17'12'',TIHY Hugo,Pompiers,CAM/08,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
HC,17'47'',DELSAHUT Noah,Pompiers,CAM/08,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
HC,18'08'',CHASSAGNAC Enzo,,JUM/06,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
HC,18'14'',GOUABAULT Mathias,Pompiers,CAM/07,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
HC,18'30'',BOUYGUES Faustine,Pompiers,JUF/06,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
7,19'02'',TRUDGETT Didier,Ac Gigouzac Saint Germain,M6M/55,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
HC,19'18'',BELLANGER Kylian,Pompiers,CAM/08,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
HC,19'43'',TEIXEIRA GODET Raphael,Pompiers,CAM/08,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
8,20'00'',CERTHOUX Michel,Ac Gigouzac Saint Germain,M7M/52,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
HC,21'04'',ZANETTI Marc Antoine,Pompiers,CAM/08,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
HC,22'35'',BRUZI Nathan,Pompiers,CAM/07,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
HC,29'44'',GASPAR Clara,Pompiers,JUF/06,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
HC,29'59'',LASFARGUES Emmy,Pompiers,JUF/06,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
1,5'06'',CHODJAI ROBIN Marion,Figeac Ac,POF/14,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
HC,5'50'',CUJUS Lisa,,POF/13,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
2,6'19'',MAURY Axelle,Cahors A,POF/14,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
3,7'20'',TARIN Louna,Sporting Club Gourdon Athletis,POF/14,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
1,22pt,,No Club,,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
HC,4'45'',FRERY Younes,S/l Stade Villeneuve-sur-lot,POM/14,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
1,4'52'',GALLEZ Johan,Figeac Ac,POM/14,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
2,4'55'',BRAULT Lucas,Ac Gigouzac Saint Germain,POM/14,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
3,5'03'',LESPINASSE Theo,Ac Gigouzac Saint Germain,POM/13,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
HC,5'11'',CALLES Esteban,,POM/14,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
4,5'15'',LE LEZ Louis,Sporting Club Gourdon Athletis,POM/14,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
5,5'18'',BARBIER FAGES Lucien,Figeac Ac,POM/13,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
HC,5'21'',DIOP Chab,,POM/13,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
6,5'25'',GENNESON-BATHEROSSE Aubin,Sporting Club Gourdon Athletis,POM/14,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
7,5'25'',LEKHAL Rayyan,Figeac Ac,POM/14,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
8,5'32'',COURTIOL Mathieu,Ac Gigouzac Saint Germain,POM/14,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
9,5'40'',LONG LEMAUFF Leo,Ac Gigouzac Saint Germain,POM/14,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
10,5'46'',CHIVE Antoine,Cahors A,POM/13,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
1,12'33'',CUJUS Tom,Cahors A,BEM/11,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
2,12'36'',MAUREL Valentin,Cahors A,BEM/12,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
3,12'50'',CHODJAI ROBIN Estelle,Figeac Ac,MIF/09,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
4,12'57'',CALMETTES Aelis,Figeac Ac,MIF/10,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
5,13'03'',HAMONET  Robin,Sporting Club Gourdon Athletis,BEM/12,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
HC,13'14'',DIOP Aiden,,BEM/11,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
6,13'40'',PERFETTINI Noah,Cahors A,BEM/11,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
7,13'52'',BOURGEOIS Julie,Cahors A,MIF/09,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
8,14'01'',MERIT Clea,Cahors A,MIF/09,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
9,14'02'',LEKHAL Salaheddine,Figeac Ac,BEM/12,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
HC,14'04'',COLDEFY Remy,,BEM/12,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
10,15'16'',VUILLAUME Lisa,Sporting Club Gourdon Athletis,MIF/10,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
HC,16'24'',LAFON Amelie,,MIF/09,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
HC,18'30'',KAING Jade,Pompiers,MIF/09,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
HC,18'30'',MAZOUZ Maina,Pompiers,MIF/10,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
HC,12'53'',BOUSSAC Charlotte,S/l Club Athletique Caussadais,BEF/12,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
1,12'54'',DEBRUN Juliette,Cahors A,BEF/12,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
